entity_id,state,last_updated
sensor.cph2371_app_memory,0.014,2023-01-27 05:41:34.584011
sensor.cph2371_app_memory,0.016,2023-01-27 05:44:36.732742
sensor.cph2371_app_memory,0.017,2023-01-27 05:45:12.582144
binary_sensor.cph2371_interactive,on,2023-01-27 05:45:12.588214
sensor.cph2371_app_memory,0.018,2023-01-27 05:45:12.662512
sensor.cph2371_screen_brightness,39,2023-01-27 05:45:12.667366
sensor.cph2371_app_memory,0.014,2023-01-27 05:45:12.916991
sensor.cph2371_last_update_trigger,android.intent.action.SCREEN_ON,2023-01-27 05:45:12.922508
sensor.cph2371_app_memory,0.016,2023-01-27 05:45:32.269889
sensor.cph2371_battery_state,charging,2023-01-27 05:45:32.271896
sensor.cph2371_charger_type,none,2023-01-27 05:45:32.275376
sensor.cph2371_battery_temperature,19.8,2023-01-27 05:45:32.277400
sensor.cph2371_battery_power,0.0,2023-01-27 05:45:32.279235
sensor.cph2371_last_update_trigger,android.intent.action.ACTION_POWER_DISCONNECTED,2023-01-27 05:45:32.283792
sensor.cph2371_active_notification_count,2,2023-01-27 05:45:32.285620
sensor.cph2371_app_memory,0.018,2023-01-27 05:45:37.704649
sensor.cph2371_battery_level,100,2023-01-27 05:45:37.707895
sensor.cph2371_battery_state,not_charging,2023-01-27 05:45:37.709782
binary_sensor.cph2371_is_charging,off,2023-01-27 05:45:37.711624
sensor.cph2371_battery_temperature,19.9,2023-01-27 05:45:37.715119
sensor.cph2371_battery_power,0.0,2023-01-27 05:45:37.716938
sensor.cph2371_app_memory,0.02,2023-01-27 05:45:45.383473
sensor.cph2371_battery_power,0.0,2023-01-27 05:45:45.385521
sensor.cph2371_screen_brightness,1,2023-01-27 05:45:45.389511
sensor.cph2371_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 05:45:45.391396
binary_sensor.cph2371_interactive,off,2023-01-27 05:45:45.393239
sensor.cph2371_app_memory,0.011,2023-01-27 05:49:03.840859
sensor.cph2371_battery_temperature,20.0,2023-01-27 05:49:03.842886
sensor.cph2371_battery_power,0.0,2023-01-27 05:49:03.846487
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:49:03.848339
sensor.cph2371_app_memory,0.013,2023-01-27 05:50:45.205495
sensor.cph2371_battery_temperature,19.9,2023-01-27 05:50:45.208912
sensor.cph2371_battery_power,0.0,2023-01-27 05:50:45.210905
sensor.cph2371_app_rx_gb,0.0032,2023-01-27 05:51:20.219533
sensor.cph2371_app_memory,0.015,2023-01-27 05:51:20.222860
sensor.cph2371_battery_power,0.0,2023-01-27 05:51:20.224933
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 05:51:20.226942
sensor.cph2371_app_tx_gb,0.0019,2023-01-27 05:53:05.565561
sensor.cph2371_app_memory,0.019,2023-01-27 05:53:05.567560
sensor.cph2371_battery_temperature,19.8,2023-01-27 05:53:05.571126
sensor.cph2371_battery_power,0.0,2023-01-27 05:53:05.572988
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 05:53:05.574849
sensor.cph2371_total_rx_gb,0.829,2023-01-27 05:53:05.582347
device_tracker.cph2371,home,2023-01-27 05:55:44.861644
sensor.cph2371_app_memory,0.015,2023-01-27 05:55:45.172489
sensor.cph2371_battery_power,0.0,2023-01-27 05:55:45.175951
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:55:45.177913
